name,shape,h_mm,b_mm,tw_mm,tf_mm,r_mm,A_cm2,mass_kgm,Iy_cm4,Wel_y_cm3,Wpl_y_cm3,iy_cm,Iz_cm4,Wel_z_cm3,Wpl_z_cm3,iz_cm
UB457x152x74,I,462.0,154.4,9.6,17.0,10.2,94.5,74.2,32700.0,1410.0,1630.0,18.6,1050.0,136.0,213.0,3.33
UB457x152x67,I,458.0,153.8,9.0,15.0,10.2,85.6,67.2,28900.0,1260.0,1450.0,18.4,913.0,119.0,187.0,3.27
UB457x152x60,I,454.6,152.9,8.1,13.3,10.2,76.2,59.8,25500.0,1120.0,1290.0,18.3,795.0,104.0,163.0,3.23
UB457x152x52,I,449.8,152.4,7.6,10.9,10.2,66.6,52.3,21400.0,950.0,1100.0,17.9,645.0,84.6,133.0,3.11
UB406x178x85,I,417.2,181.9,10.9,18.2,10.2,109.0,85.3,31700.0,1520.0,1730.0,17.1,1830.0,201.0,313.0,4.11
UB406x178x74,I,412.8,179.5,9.5,16.0,10.2,94.5,74.2,27300.0,1320.0,1500.0,17.0,1550.0,172.0,267.0,4.04
UB406x178x67,I,409.4,178.8,8.8,14.3,10.2,85.5,67.1,24300.0,1190.0,1350.0,16.9,1360.0,153.0,237.0,3.99
UB406x178x60,I,406.4,177.9,7.9,12.8,10.2,76.5,60.1,21600.0,1060.0,1200.0,16.8,1200.0,135.0,209.0,3.97
UB406x178x54,I,402.6,177.7,7.7,10.9,10.2,69.0,54.1,18700.0,930.0,1050.0,16.5,1020.0,115.0,178.0,3.85
UB406x140x53,I,406.6,143.3,7.9,12.9,10.2,67.9,53.3,18300.0,899.0,1030.0,16.4,635.0,88.6,139.0,3.06
UB406x140x46,I,403.2,142.2,6.8,11.2,10.2,58.6,46.0,15700.0,778.0,888.0,16.4,538.0,75.7,118.0,3.03
UB406x140x39,I,398.0,141.8,6.4,8.6,10.2,49.7,39.0,12500.0,629.0,724.0,15.9,410.0,57.8,90.8,2.87
UB356x171x67,I,363.4,173.2,9.1,15.7,10.2,85.5,67.1,19500.0,1070.0,1210.0,15.1,1360.0,157.0,243.0,3.99
UB356x171x57,I,358.0,172.2,8.1,13.0,10.2,72.6,57.0,16000.0,896.0,1010.0,14.9,1110.0,129.0,199.0,3.91
UB356x171x51,I,355.0,171.5,7.4,11.5,10.2,64.9,51.0,14100.0,796.0,896.0,14.8,968.0,113.0,174.0,3.86
UB356x171x45,I,351.4,171.1,7.0,9.7,10.2,57.3,45.0,12100.0,687.0,775.0,14.5,811.0,94.8,147.0,3.76
UB356x127x39,I,353.4,126.0,6.6,10.7,10.2,49.8,39.1,10200.0,576.0,659.0,14.3,358.0,56.8,89.0,2.68
UB356x127x33,I,349.0,125.4,6.0,8.5,10.2,42.1,33.1,8250.0,473.0,543.0,14.0,280.0,44.7,70.2,2.58
UB305x165x54,I,310.4,166.9,7.9,13.7,8.9,68.8,54.0,11700.0,754.0,846.0,13.0,1060.0,127.0,196.0,3.93
UB305x165x46,I,306.6,165.7,6.7,11.8,8.9,58.7,46.1,9900.0,646.0,720.0,13.0,896.0,108.0,166.0,3.9
UB305x165x40,I,303.4,165.0,6.0,10.2,8.9,51.3,40.3,8500.0,560.0,623.0,12.9,764.0,92.6,142.0,3.86
UB305x127x48,I,311.0,125.3,9.0,14.0,8.9,61.2,48.1,9570.0,616.0,711.0,12.5,461.0,73.6,116.0,2.74
UB305x127x42,I,307.2,124.3,8.0,12.1,8.9,53.4,41.9,8200.0,534.0,614.0,12.4,389.0,62.6,98.4,2.7
UB305x127x37,I,304.4,123.4,7.1,10.7,8.9,47.2,37.0,7170.0,471.0,539.0,12.3,336.0,54.5,85.4,2.67
UB305x102x33,I,312.7,102.4,6.6,10.8,7.6,41.8,32.8,6500.0,416.0,481.0,12.5,194.0,37.9,60.0,2.15
UB305x102x28,I,308.7,101.8,6.0,8.8,7.6,35.9,28.2,5370.0,348.0,403.0,12.2,155.0,30.5,48.4,2.08
UB305x102x25,I,305.1,101.6,5.8,7.0,7.6,31.6,24.8,4460.0,292.0,342.0,11.9,123.0,24.2,38.8,1.97
UB254x146x43,I,259.6,147.3,7.2,12.7,7.6,54.8,43.0,6540.0,504.0,566.0,10.9,677.0,92.0,141.0,3.52
UB254x146x37,I,256.0,146.4,6.3,10.9,7.6,47.2,37.0,5540.0,433.0,483.0,10.8,571.0,78.0,119.0,3.48
UB254x146x31,I,251.4,146.1,6.0,8.6,7.6,39.7,31.1,4410.0,351.0,393.0,10.5,448.0,61.3,94.1,3.36
UB254x102x28,I,260.4,102.2,6.3,10.0,7.6,36.1,28.3,4000.0,308.0,353.0,10.5,179.0,34.9,54.8,2.22
UB254x102x25,I,257.2,101.9,6.0,8.4,7.6,32.0,25.2,3410.0,266.0,306.0,10.3,149.0,29.2,46.0,2.15
UB254x102x22,I,254.0,101.6,5.7,6.8,7.6,28.0,22.0,2840.0,224.0,259.0,10.1,119.0,23.5,37.3,2.06
UB203x133x30,I,206.8,133.9,6.4,9.6,7.6,38.2,30.0,2900.0,280.0,314.0,8.71,385.0,57.5,88.2,3.17
UB203x133x25,I,203.2,133.2,5.7,7.8,7.6,32.0,25.1,2340.0,230.0,258.0,8.56,308.0,46.2,70.9,3.1
UB203x102x23,I,203.2,101.8,5.4,9.3,7.6,29.4,23.1,2100.0,207.0,234.0,8.46,164.0,32.2,49.7,2.36
UB178x102x19,I,177.8,101.2,4.8,7.9,7.6,24.3,19.0,1360.0,153.0,171.0,7.48,137.0,27.0,41.6,2.37
UB152x89x16,I,152.4,88.7,4.5,7.7,7.6,20.3,16.0,834.0,109.0,123.0,6.41,89.8,20.2,31.2,2.1
UB127x76x13,I,127.0,76.0,4.0,7.6,7.6,16.5,13.0,473.0,74.6,84.2,5.35,55.7,14.7,22.6,1.84
