name,shape,Ht_in,B_in,tnom_in,tdes_in,A_in2,mass_lbft,Ix_in4,Sx_in3,Zx_in3,rx_in,Iy_in4,Sy_in3,Zy_in3,ry_in
HSS8X8X3/8,HSS,8,8,0.375,0.349,10.4,37.69,100,24.9,29.4,3.1,100,24.9,29.4,3.1
HSS8X8X5/16,HSS,8,8,0.3125,0.291,8.76,31.84,85.6,21.4,25.1,3.13,85.6,21.4,25.1,3.13
HSS8X8X1/4,HSS,8,8,0.25,0.233,7.1,25.82,70.7,17.7,20.5,3.15,70.7,17.7,20.5,3.15
HSS8X8X3/16,HSS,8,8,0.1875,0.174,5.37,19.63,54.4,13.6,15.7,3.18,54.4,13.6,15.7,3.18
HSS8X8X1/8,HSS,8,8,0.125,0.116,3.62,13.26,37.4,9.34,10.7,3.21,37.4,9.34,10.7,3.21
HSS8X6X5/8,HSS,8,6,0.625,0.581,14,50.81,114,28.5,36.1,2.85,72.3,24.1,29.5,2.27
HSS8X6X1/2,HSS,8,6,0.5,0.465,11.6,42.05,98.2,24.6,30.5,2.91,62.5,20.8,24.9,2.32
HSS8X6X3/8,HSS,8,6,0.375,0.349,8.97,32.58,79.1,19.8,24.1,2.97,50.6,16.9,19.8,2.38
HSS8X6X5/16,HSS,8,6,0.3125,0.291,7.59,27.59,68.3,17.1,20.6,3,43.8,14.6,16.9,2.4
HSS8X6X1/4,HSS,8,6,0.25,0.233,6.17,22.42,56.6,14.2,16.9,3.03,36.4,12.1,13.9,2.43
HSS8X6X3/16,HSS,8,6,0.1875,0.174,4.67,17.08,43.7,10.9,13,3.06,28.2,9.39,10.7,2.46
HSS8X4X5/8,HSS,8,4,0.625,0.581,11.7,42.3,82,20.5,27.4,2.64,26.6,13.3,16.6,1.51
HSS8X4X1/2,HSS,8,4,0.5,0.465,9.74,35.24,71.8,17.9,23.5,2.71,23.6,11.8,14.3,1.56
HSS8X4X3/8,HSS,8,4,0.375,0.349,7.58,27.48,58.7,14.7,18.8,2.78,19.6,9.8,11.5,1.61
HSS8X4X5/16,HSS,8,4,0.3125,0.291,6.43,23.34,51,12.8,16.1,2.82,17.2,8.58,9.91,1.63
HSS8X4X1/4,HSS,8,4,0.25,0.233,5.24,19.02,42.5,10.6,13.3,2.85,14.4,7.21,8.2,1.66
HSS8X4X3/16,HSS,8,4,0.1875,0.174,3.98,14.53,33.1,8.27,10.2,2.88,11.3,5.65,6.33,1.69
HSS8X4X1/8,HSS,8,4,0.125,0.116,2.7,9.86,22.9,5.73,7.02,2.92,7.9,3.95,4.36,1.71
HSS8X3X1/2,HSS,8,3,0.5,0.465,8.81,31.84,58.6,14.6,20,2.58,11.7,7.81,9.64,1.15
HSS8X3X3/8,HSS,8,3,0.375,0.349,6.88,24.93,48.5,12.1,16.1,2.65,10,6.63,7.88,1.2
HSS8X3X5/16,HSS,8,3,0.3125,0.291,5.85,21.21,42.4,10.6,13.9,2.69,8.81,5.87,6.84,1.23
HSS8X3X1/4,HSS,8,3,0.25,0.233,4.77,17.32,35.5,8.88,11.5,2.73,7.49,4.99,5.7,1.25
HSS8X3X3/16,HSS,8,3,0.1875,0.174,3.63,13.25,27.8,6.94,8.87,2.77,5.94,3.96,4.43,1.28
HSS8X3X1/8,HSS,8,3,0.125,0.116,2.46,9.01,19.3,4.83,6.11,2.8,4.2,2.8,3.07,1.31
HSS8X2X3/8,HSS,8,2,0.375,0.349,6.18,22.37,38.2,9.56,13.4,2.49,3.73,3.73,4.61,0.777
HSS8X2X5/16,HSS,8,2,0.3125,0.291,5.26,19.08,33.7,8.43,11.6,2.53,3.38,3.38,4.06,0.802
HSS8X2X1/4,HSS,8,2,0.25,0.233,4.3,15.62,28.5,7.12,9.68,2.57,2.94,2.94,3.43,0.827
HSS8X2X3/16,HSS,8,2,0.1875,0.174,3.28,11.97,22.4,5.61,7.51,2.61,2.39,2.39,2.7,0.853
HSS8X2X1/8,HSS,8,2,0.125,0.116,2.23,8.16,15.7,3.93,5.19,2.65,1.72,1.72,1.9,0.879
HSS7X7X5/8,HSS,7,7,0.625,0.581,14,50.81,93.4,26.7,33.1,2.58,93.4,26.7,33.1,2.58
HSS7X7X1/2,HSS,7,7,0.5,0.465,11.6,42.05,80.5,23,27.9,2.63,80.5,23,27.9,2.63
HSS7X7X3/8,HSS,7,7,0.375,0.349,8.97,32.58,65,18.6,22.1,2.69,65,18.6,22.1,2.69
HSS7X7X5/16,HSS,7,7,0.3125,0.291,7.59,27.59,56.1,16,18.9,2.72,56.1,16,18.9,2.72
HSS7X7X1/4,HSS,7,7,0.25,0.233,6.17,22.42,46.5,13.3,15.5,2.75,46.5,13.3,15.5,2.75
HSS7X7X3/16,HSS,7,7,0.1875,0.174,4.67,17.08,36,10.3,11.9,2.77,36,10.3,11.9,2.77
HSS7X7X1/8,HSS,7,7,0.125,0.116,3.16,11.56,24.8,7.09,8.13,2.8,24.8,7.09,8.13,2.8
HSS7X5X1/2,HSS,7,5,0.5,0.465,9.74,35.24,60.6,17.3,21.9,2.5,35.6,14.2,17.3,1.91
HSS7X5X3/8,HSS,7,5,0.375,0.349,7.58,27.48,49.5,14.1,17.5,2.56,29.3,11.7,13.8,1.97
HSS7X5X5/16,HSS,7,5,0.3125,0.291,6.43,23.34,43,12.3,15,2.59,25.5,10.2,11.9,1.99
HSS7X5X1/4,HSS,7,5,0.25,0.233,5.24,19.02,35.9,10.2,12.4,2.62,21.3,8.53,9.83,2.02
HSS7X5X3/16,HSS,7,5,0.1875,0.174,3.98,14.53,27.9,7.96,9.52,2.65,16.6,6.65,7.57,2.05
HSS7X5X1/8,HSS,7,5,0.125,0.116,2.7,9.86,19.3,5.52,6.53,2.68,11.6,4.63,5.2,2.07
HSS7X4X1/2,HSS,7,4,0.5,0.465,8.81,31.84,50.7,14.5,18.8,2.4,20.7,10.4,12.6,1.53
HSS7X4X3/8,HSS,7,4,0.375,0.349,6.88,24.93,41.8,11.9,15.1,2.46,17.3,8.63,10.2,1.58
HSS7X4X5/16,HSS,7,4,0.3125,0.291,5.85,21.21,36.5,10.4,13.1,2.5,15.2,7.58,8.83,1.61
HSS7X4X1/4,HSS,7,4,0.25,0.233,4.77,17.32,30.5,8.72,10.8,2.53,12.8,6.38,7.33,1.64
HSS7X4X3/16,HSS,7,4,0.1875,0.174,3.63,13.25,23.8,6.81,8.33,2.56,10,5.02,5.67,1.66
HSS7X4X1/8,HSS,7,4,0.125,0.116,2.46,9.01,16.6,4.73,5.73,2.59,7.03,3.51,3.91,1.69
HSS7X3X1/2,HSS,7,3,0.5,0.465,7.88,28.43,40.7,11.6,15.8,2.27,10.2,6.8,8.46,1.14
HSS7X3X3/8,HSS,7,3,0.375,0.349,6.18,22.37,34.1,9.73,12.8,2.35,8.71,5.81,6.95,1.19
HSS7X3X5/16,HSS,7,3,0.3125,0.291,5.26,19.08,29.9,8.54,11.1,2.38,7.74,5.16,6.05,1.21
HSS7X3X1/4,HSS,7,3,0.25,0.233,4.3,15.62,25.2,7.19,9.22,2.42,6.6,4.4,5.06,1.24
HSS7X3X3/16,HSS,7,3,0.1875,0.174,3.28,11.97,19.8,5.65,7.14,2.45,5.24,3.5,3.94,1.26
HSS7X3X1/8,HSS,7,3,0.125,0.116,2.23,8.16,13.8,3.95,4.93,2.49,3.71,2.48,2.73,1.29
HSS7X2X1/4,HSS,7,2,0.25,0.233,3.84,13.91,19.8,5.67,7.64,2.27,2.58,2.58,3.02,0.819
HSS7X2X3/16,HSS,7,2,0.1875,0.174,2.93,10.7,15.7,4.49,5.95,2.31,2.1,2.1,2.39,0.845
HSS7X2X1/8,HSS,7,2,0.125,0.116,2,7.31,11.1,3.16,4.13,2.35,1.52,1.52,1.68,0.871
HSS6X6X5/8,HSS,6,6,0.625,0.581,11.7,42.3,55.2,18.4,23.2,2.17,55.2,18.4,23.2,2.17
HSS6X6X1/2,HSS,6,6,0.5,0.465,9.74,35.24,48.3,16.1,19.8,2.23,48.3,16.1,19.8,2.23
HSS6X6X3/8,HSS,6,6,0.375,0.349,7.58,27.48,39.5,13.2,15.8,2.28,39.5,13.2,15.8,2.28
HSS6X6X5/16,HSS,6,6,0.3125,0.291,6.43,23.34,34.3,11.4,13.6,2.31,34.3,11.4,13.6,2.31
HSS6X6X1/4,HSS,6,6,0.25,0.233,5.24,19.02,28.6,9.54,11.2,2.34,28.6,9.54,11.2,2.34
HSS6X6X3/16,HSS,6,6,0.1875,0.174,3.98,14.53,22.3,7.42,8.63,2.37,22.3,7.42,8.63,2.37
HSS6X6X1/8,HSS,6,6,0.125,0.116,2.7,9.86,15.5,5.15,5.92,2.39,15.5,5.15,5.92,2.39
HSS6X5X1/2,HSS,6,5,0.5,0.465,8.81,31.84,41.1,13.7,17.2,2.16,30.8,12.3,15.2,1.87
HSS6X5X3/8,HSS,6,5,0.375,0.349,6.88,24.93,33.9,11.3,13.8,2.22,25.5,10.2,12.2,1.92
HSS6X5X5/16,HSS,6,5,0.3125,0.291,5.85,21.21,29.6,9.85,11.9,2.25,22.3,8.91,10.5,1.95
HSS6X5X1/4,HSS,6,5,0.25,0.233,4.77,17.32,24.7,8.25,9.87,2.28,18.7,7.47,8.72,1.98
HSS6X5X3/16,HSS,6,5,0.1875,0.174,3.63,13.25,19.3,6.44,7.62,2.31,14.6,5.84,6.73,2.01
HSS6X5X1/8,HSS,6,5,0.125,0.116,2.46,9.01,13.4,4.48,5.24,2.34,10.2,4.07,4.63,2.03
HSS6X4X1/2,HSS,6,4,0.5,0.465,7.88,28.43,34,11.3,14.6,2.08,17.8,8.89,11,1.5
HSS6X4X3/8,HSS,6,4,0.375,0.349,6.18,22.37,28.3,9.43,11.9,2.14,14.9,7.47,8.94,1.55
HSS6X4X5/16,HSS,6,4,0.3125,0.291,5.26,19.08,24.8,8.27,10.3,2.17,13.2,6.58,7.75,1.58
HSS6X4X1/4,HSS,6,4,0.25,0.233,4.3,15.62,20.9,6.96,8.53,2.2,11.1,5.56,6.45,1.61
HSS6X4X3/16,HSS,6,4,0.1875,0.174,3.28,11.97,16.4,5.46,6.6,2.23,8.76,4.38,5,1.63
HSS6X4X1/8,HSS,6,4,0.125,0.116,2.23,8.16,11.4,3.81,4.56,2.26,6.15,3.08,3.46,1.66
HSS6X3X1/2,HSS,6,3,0.5,0.465,6.95,25.03,26.8,8.95,12.1,1.97,8.69,5.79,7.28,1.12
HSS6X3X3/8,HSS,6,3,0.375,0.349,5.48,19.82,22.7,7.57,9.9,2.04,7.48,4.99,6.03,1.17
HSS6X3X5/16,HSS,6,3,0.3125,0.291,4.68,16.96,20.1,6.69,8.61,2.07,6.67,4.45,5.27,1.19
HSS6X3X1/4,HSS,6,3,0.25,0.233,3.84,13.91,17,5.66,7.19,2.1,5.7,3.8,4.41,1.22
HSS6X3X3/16,HSS,6,3,0.1875,0.174,2.93,10.7,13.4,4.47,5.59,2.14,4.55,3.03,3.45,1.25
HSS6X3X1/8,HSS,6,3,0.125,0.116,2,7.31,9.43,3.14,3.87,2.17,3.23,2.15,2.4,1.27
HSS6X2X3/8,HSS,6,2,0.375,0.349,4.78,17.27,17.1,5.71,7.93,1.89,2.77,2.77,3.46,0.76
HSS6X2X5/16,HSS,6,2,0.3125,0.291,4.1,14.83,15.3,5.11,6.95,1.93,2.52,2.52,3.07,0.785
HSS6X2X1/4,HSS,6,2,0.25,0.233,3.37,12.21,13.1,4.37,5.84,1.97,2.21,2.21,2.61,0.81
HSS6X2X3/16,HSS,6,2,0.1875,0.174,2.58,9.42,10.5,3.49,4.58,2.01,1.8,1.8,2.07,0.836
HSS6X2X1/8,HSS,6,2,0.125,0.116,1.77,6.46,7.42,2.47,3.19,2.05,1.31,1.31,1.46,0.861
HSS5-1/2X5-1/2X3/8,HSS,5.5,5.5,0.375,0.349,6.88,24.93,29.7,10.8,13.1,2.08,29.7,10.8,13.1,2.08
HSS5-1/2X5-1/2X5/16,HSS,5.5,5.5,0.3125,0.291,5.85,21.21,25.9,9.43,11.3,2.11,25.9,9.43,11.3,2.11
HSS5-1/2X5-1/2X1/4,HSS,5.5,5.5,0.25,0.233,4.77,17.32,21.7,7.9,9.32,2.13,21.7,7.9,9.32,2.13
HSS5-1/2X5-1/2X3/16,HSS,5.5,5.5,0.1875,0.174,3.63,13.25,17,6.17,7.19,2.16,17,6.17,7.19,2.16
HSS5-1/2X5-1/2X1/8,HSS,5.5,5.5,0.125,0.116,2.46,9.01,11.8,4.3,4.95,2.19,11.8,4.3,4.95,2.19
HSS5X5X1/2,HSS,5,5,0.5,0.465,7.88,28.43,26,10.4,13.1,1.82,26,10.4,13.1,1.82
HSS5X5X3/8,HSS,5,5,0.375,0.349,6.18,22.37,21.7,8.68,10.6,1.87,21.7,8.68,10.6,1.87
HSS5X5X5/16,HSS,5,5,0.3125,0.291,5.26,19.08,19,7.62,9.16,1.9,19,7.62,9.16,1.9
HSS5X5X1/4,HSS,5,5,0.25,0.233,4.3,15.62,16,6.41,7.61,1.93,16,6.41,7.61,1.93
HSS5X5X3/16,HSS,5,5,0.1875,0.174,3.28,11.97,12.6,5.03,5.89,1.96,12.6,5.03,5.89,1.96
