name,shape,Ht_in,B_in,tnom_in,tdes_in,A_in2,mass_lbft,Ix_in4,Sx_in3,Zx_in3,rx_in,Iy_in4,Sy_in3,Zy_in3,ry_in
HSS4X2X3/16,HSS,4,2,0.1875,0.174,1.89,6.87,3.66,1.83,2.34,1.39,1.22,1.22,1.43,0.804
HSS4X2X1/8,HSS,4,2,0.125,0.116,1.3,4.75,2.65,1.32,1.66,1.43,0.898,0.898,1.02,0.83
HSS3-1/2X3-1/2X3/8,HSS,3.5,3.5,0.375,0.349,4.09,14.72,6.49,3.71,4.69,1.26,6.49,3.71,4.69,1.26
HSS3-1/2X3-1/2X5/16,HSS,3.5,3.5,0.3125,0.291,3.52,12.7,5.84,3.34,4.14,1.29,5.84,3.34,4.14,1.29
HSS3-1/2X3-1/2X1/4,HSS,3.5,3.5,0.25,0.233,2.91,10.51,5.04,2.88,3.5,1.32,5.04,2.88,3.5,1.32
HSS3-1/2X3-1/2X3/16,HSS,3.5,3.5,0.1875,0.174,2.24,8.15,4.05,2.31,2.76,1.35,4.05,2.31,2.76,1.35
HSS3-1/2X3-1/2X1/8,HSS,3.5,3.5,0.125,0.116,1.54,5.61,2.9,1.66,1.93,1.37,2.9,1.66,1.93,1.37
HSS3-1/2X2-1/2X3/8,HSS,3.5,2.5,0.375,0.349,3.39,12.17,4.75,2.72,3.59,1.18,2.77,2.21,2.82,0.904
HSS3-1/2X2-1/2X5/16,HSS,3.5,2.5,0.3125,0.291,2.94,10.58,4.34,2.48,3.2,1.22,2.54,2.03,2.52,0.93
HSS3-1/2X2-1/2X1/4,HSS,3.5,2.5,0.25,0.233,2.44,8.81,3.79,2.17,2.74,1.25,2.23,1.78,2.16,0.956
HSS3-1/2X2-1/2X3/16,HSS,3.5,2.5,0.1875,0.174,1.89,6.87,3.09,1.76,2.18,1.28,1.82,1.46,1.72,0.983
HSS3-1/2X2-1/2X1/8,HSS,3.5,2.5,0.125,0.116,1.3,4.75,2.23,1.28,1.54,1.31,1.33,1.06,1.22,1.01
HSS3-1/2X2X1/4,HSS,3.5,2,0.25,0.233,2.21,7.96,3.17,1.81,2.36,1.2,1.3,1.3,1.58,0.766
HSS3-1/2X2X3/16,HSS,3.5,2,0.1875,0.174,1.71,6.23,2.61,1.49,1.89,1.23,1.08,1.08,1.27,0.792
HSS3-1/2X2X1/8,HSS,3.5,2,0.125,0.116,1.19,4.33,1.9,1.09,1.34,1.27,0.795,0.795,0.912,0.818
HSS3-1/2X1-1/2X1/4,HSS,3.5,1.5,0.25,0.233,1.97,7.11,2.55,1.46,1.98,1.14,0.638,0.851,1.06,0.569
HSS3-1/2X1-1/2X3/16,HSS,3.5,1.5,0.1875,0.174,1.54,5.59,2.12,1.21,1.6,1.17,0.544,0.725,0.867,0.594
HSS3-1/2X1-1/2X1/8,HSS,3.5,1.5,0.125,0.116,1.07,3.9,1.57,0.896,1.15,1.21,0.411,0.548,0.63,0.619
HSS3X3X3/8,HSS,3,3,0.375,0.349,3.39,12.17,3.78,2.52,3.25,1.06,3.78,2.52,3.25,1.06
HSS3X3X5/16,HSS,3,3,0.3125,0.291,2.94,10.58,3.45,2.3,2.9,1.08,3.45,2.3,2.9,1.08
HSS3X3X1/4,HSS,3,3,0.25,0.233,2.44,8.81,3.02,2.01,2.48,1.11,3.02,2.01,2.48,1.11
HSS3X3X3/16,HSS,3,3,0.1875,0.174,1.89,6.87,2.46,1.64,1.97,1.14,2.46,1.64,1.97,1.14
HSS3X3X1/8,HSS,3,3,0.125,0.116,1.3,4.75,1.78,1.19,1.4,1.17,1.78,1.19,1.4,1.17
HSS3X2-1/2X5/16,HSS,3,2.5,0.3125,0.291,2.64,9.51,2.92,1.94,2.51,1.05,2.18,1.74,2.2,0.908
HSS3X2-1/2X1/4,HSS,3,2.5,0.25,0.233,2.21,7.96,2.57,1.72,2.16,1.08,1.93,1.54,1.9,0.935
HSS3X2-1/2X3/16,HSS,3,2.5,0.1875,0.174,1.71,6.23,2.11,1.41,1.73,1.11,1.59,1.27,1.52,0.963
HSS3X2-1/2X1/8,HSS,3,2.5,0.125,0.116,1.19,4.33,1.54,1.03,1.23,1.14,1.16,0.931,1.09,0.99
HSS3X2X5/16,HSS,3,2,0.3125,0.291,2.35,8.45,2.38,1.59,2.11,1.01,1.24,1.24,1.58,0.725
HSS3X2X1/4,HSS,3,2,0.25,0.233,1.97,7.11,2.13,1.42,1.83,1.04,1.11,1.11,1.38,0.751
HSS3X2X3/16,HSS,3,2,0.1875,0.174,1.54,5.59,1.77,1.18,1.48,1.07,0.932,0.932,1.12,0.778
HSS3X2X1/8,HSS,3,2,0.125,0.116,1.07,3.9,1.3,0.867,1.06,1.1,0.692,0.692,0.803,0.804
HSS3X1-1/2X1/4,HSS,3,1.5,0.25,0.233,1.74,6.26,1.68,1.12,1.51,0.982,0.543,0.725,0.911,0.559
HSS3X1-1/2X3/16,HSS,3,1.5,0.1875,0.174,1.37,4.96,1.42,0.945,1.24,1.02,0.467,0.622,0.752,0.584
HSS3X1-1/2X1/8,HSS,3,1.5,0.125,0.116,0.956,3.48,1.06,0.706,0.895,1.05,0.355,0.474,0.55,0.61
HSS3X1X3/16,HSS,3,1,0.1875,0.174,1.19,4.32,1.07,0.713,0.989,0.947,0.173,0.345,0.432,0.38
HSS3X1X1/8,HSS,3,1,0.125,0.116,0.84,3.05,0.817,0.545,0.728,0.987,0.138,0.276,0.325,0.405
HSS2-1/2X2-1/2X5/16,HSS,2.5,2.5,0.3125,0.291,2.35,8.45,1.82,1.46,1.88,0.88,1.82,1.46,1.88,0.88
HSS2-1/2X2-1/2X1/4,HSS,2.5,2.5,0.25,0.233,1.97,7.11,1.63,1.3,1.63,0.908,1.63,1.3,1.63,0.908
HSS2-1/2X2-1/2X3/16,HSS,2.5,2.5,0.1875,0.174,1.54,5.59,1.35,1.08,1.32,0.937,1.35,1.08,1.32,0.937
HSS2-1/2X2-1/2X1/8,HSS,2.5,2.5,0.125,0.116,1.07,3.9,0.998,0.799,0.947,0.965,0.998,0.799,0.947,0.965
HSS2-1/2X2X1/4,HSS,2.5,2,0.25,0.233,1.74,6.26,1.33,1.06,1.37,0.874,0.93,0.93,1.17,0.731
HSS2-1/2X2X3/16,HSS,2.5,2,0.1875,0.174,1.37,4.96,1.12,0.894,1.12,0.904,0.786,0.786,0.956,0.758
HSS2-1/2X2X1/8,HSS,2.5,2,0.125,0.116,0.956,3.48,0.833,0.667,0.809,0.934,0.589,0.589,0.694,0.785
HSS2-1/2X1-1/2X1/4,HSS,2.5,1.5,0.25,0.233,1.51,5.41,1.03,0.822,1.11,0.826,0.449,0.599,0.764,0.546
HSS2-1/2X1-1/2X3/16,HSS,2.5,1.5,0.1875,0.174,1.19,4.32,0.882,0.705,0.915,0.86,0.39,0.52,0.636,0.572
HSS2-1/2X1-1/2X1/8,HSS,2.5,1.5,0.125,0.116,0.84,3.05,0.668,0.535,0.671,0.892,0.3,0.399,0.469,0.597
HSS2-1/2X1X3/16,HSS,2.5,1,0.1875,0.174,1.02,3.68,0.646,0.517,0.713,0.796,0.143,0.285,0.36,0.374
HSS2-1/2X1X1/8,HSS,2.5,1,0.125,0.116,0.724,2.63,0.503,0.403,0.532,0.834,0.115,0.23,0.274,0.399
HSS2-1/4X2-1/4X1/4,HSS,2.25,2.25,0.25,0.233,1.74,6.26,1.13,1.01,1.28,0.806,1.13,1.01,1.28,0.806
HSS2-1/4X2-1/4X3/16,HSS,2.25,2.25,0.1875,0.174,1.37,4.96,0.953,0.847,1.04,0.835,0.953,0.847,1.04,0.835
HSS2-1/4X2-1/4X1/8,HSS,2.25,2.25,0.125,0.116,0.956,3.48,0.712,0.633,0.755,0.863,0.712,0.633,0.755,0.863
HSS2-1/4X2X3/16,HSS,2.25,2,0.1875,0.174,1.28,4.64,0.859,0.764,0.952,0.819,0.713,0.713,0.877,0.747
HSS2-1/4X2X1/8,HSS,2.25,2,0.125,0.116,0.898,3.27,0.646,0.574,0.693,0.848,0.538,0.538,0.639,0.774
HSS2X2X1/4,HSS,2,2,0.25,0.233,1.51,5.41,0.747,0.747,0.964,0.704,0.747,0.747,0.964,0.704
HSS2X2X3/16,HSS,2,2,0.1875,0.174,1.19,4.32,0.641,0.641,0.797,0.733,0.641,0.641,0.797,0.733
HSS2X2X1/8,HSS,2,2,0.125,0.116,0.84,3.05,0.486,0.486,0.584,0.761,0.486,0.486,0.584,0.761
HSS2X1-1/2X3/16,HSS,2,1.5,0.1875,0.174,1.02,3.68,0.495,0.495,0.639,0.697,0.313,0.417,0.521,0.554
HSS2X1-1/2X1/8,HSS,2,1.5,0.125,0.116,0.724,2.63,0.383,0.383,0.475,0.728,0.244,0.325,0.389,0.581
HSS2X1X3/16,HSS,2,1,0.1875,0.174,0.845,3.04,0.35,0.35,0.48,0.643,0.112,0.225,0.288,0.365
HSS2X1X1/8,HSS,2,1,0.125,0.116,0.608,2.2,0.28,0.28,0.366,0.679,0.0922,0.184,0.223,0.39
