name,shape,d_in,bf_in,tw_in,tf_in,kdes_in,A_in2,mass_lbft,Ix_in4,Sx_in3,Zx_in3,rx_in,Iy_in4,Sy_in3,Zy_in3,ry_in
W12X19,I,12.2,4.01,0.235,0.35,0.65,5.57,19,130,21.3,24.7,4.82,3.76,1.88,2.98,0.822
W12X16,I,12,3.99,0.22,0.265,0.565,4.71,16,103,17.1,20.1,4.67,2.82,1.41,2.26,0.773
W12X14,I,11.9,3.97,0.2,0.225,0.525,4.16,14,88.6,14.9,17.4,4.62,2.36,1.19,1.9,0.753
W10X112,H,11.4,10.4,0.755,1.25,1.75,32.9,112,716,126,147,4.66,236,45.3,69.2,2.68
W10X100,H,11.1,10.3,0.68,1.12,1.62,29.3,100,623,112,130,4.6,207,40,61,2.65
W10X88,H,10.8,10.3,0.605,0.99,1.49,26,88,534,98.5,113,4.54,179,34.8,53.1,2.63
W10X77,H,10.6,10.2,0.53,0.87,1.37,22.7,77,455,85.9,97.6,4.49,154,30.1,45.9,2.6
W10X68,H,10.4,10.1,0.47,0.77,1.27,19.9,68,394,75.7,85.3,4.44,134,26.4,40.1,2.59
W10X60,H,10.2,10.1,0.42,0.68,1.18,17.7,60,341,66.7,74.6,4.39,116,23,35,2.57
W10X54,H,10.1,10,0.37,0.615,1.12,15.8,54,303,60,66.6,4.37,103,20.6,31.3,2.56
W10X49,H,10,10,0.34,0.56,1.06,14.4,49,272,54.6,60.4,4.35,93.4,18.7,28.3,2.54
W10X45,H,10.1,8.02,0.35,0.62,1.12,13.3,45,248,49.1,54.9,4.32,53.4,13.3,20.3,2.01
W10X39,H,9.92,7.99,0.315,0.53,1.03,11.5,39,209,42.1,46.8,4.27,45,11.3,17.2,1.98
W10X33,H,9.73,7.96,0.29,0.435,0.935,9.71,33,171,35,38.8,4.19,36.6,9.2,14,1.94
W10X30,I,10.5,5.81,0.3,0.51,0.81,8.84,30,170,32.4,36.6,4.38,16.7,5.75,8.84,1.37
W10X26,I,10.3,5.77,0.26,0.44,0.74,7.61,26,144,27.9,31.3,4.35,14.1,4.89,7.5,1.36
W10X22,I,10.2,5.75,0.24,0.36,0.66,6.49,22,118,23.2,26,4.27,11.4,3.97,6.1,1.33
W10X19,I,10.2,4.02,0.25,0.395,0.695,5.62,19,96.3,18.8,21.6,4.14,4.29,2.14,3.35,0.874
