name,shape,d_in,bf_in,tw_in,tf_in,kdes_in,A_in2,mass_lbft,Ix_in4,Sx_in3,Zx_in3,rx_in,Iy_in4,Sy_in3,Zy_in3,ry_in
W21X93,I,21.6,8.42,0.58,0.93,1.43,27.3,93,2070,192,221,8.7,92.9,22.1,34.7,1.84
W21X83,I,21.4,8.36,0.515,0.835,1.34,24.4,83,1830,171,196,8.67,81.4,19.5,30.5,1.83
W21X73,I,21.2,8.3,0.455,0.74,1.24,21.5,73,1600,151,172,8.64,70.6,17,26.6,1.81
W21X68,I,21.1,8.27,0.43,0.685,1.19,20,68,1480,140,160,8.6,64.7,15.7,24.4,1.8
W21X62,I,21,8.24,0.4,0.615,1.12,18.3,62,1330,127,144,8.54,57.5,14,21.7,1.77
W21X55,I,20.8,8.22,0.375,0.522,1.02,16.2,55,1140,110,126,8.4,48.4,11.8,18.4,1.73
W21X48,I,20.6,8.14,0.35,0.43,0.93,14.1,48,959,93,107,8.24,38.7,9.52,14.9,1.66
W21X57,I,21.1,6.56,0.405,0.65,1.15,16.7,57,1170,111,129,8.36,30.6,9.35,14.8,1.35
W21X50,I,20.8,6.53,0.38,0.535,1.04,14.7,50,984,94.5,110,8.18,24.9,7.64,12.2,1.3
W21X44,I,20.7,6.5,0.35,0.45,0.95,13,44,843,81.6,95.4,8.06,20.7,6.37,10.2,1.26
W18X311,I,22.3,12,1.52,2.74,3.24,91.6,311,6970,624,754,8.72,795,132,207,2.95
W18X283,I,21.9,11.9,1.4,2.5,3,83.3,283,6170,565,676,8.61,704,118,185,2.91
W18X258,I,21.5,11.8,1.28,2.3,2.7,76,258,5510,514,611,8.53,628,107,166,2.88
W18X234,I,21.1,11.7,1.16,2.11,2.51,68.6,234,4900,466,549,8.44,558,95.8,149,2.85
W18X211,I,20.7,11.6,1.06,1.91,2.31,62.3,211,4330,419,490,8.35,493,85.3,132,2.82
W18X192,I,20.4,11.5,0.96,1.75,2.15,56.2,192,3870,380,442,8.28,440,76.8,119,2.79
W18X175,I,20,11.4,0.89,1.59,1.99,51.4,175,3450,344,398,8.2,391,68.8,106,2.76
W18X158,I,19.7,11.3,0.81,1.44,1.84,46.3,158,3060,310,356,8.12,347,61.4,94.8,2.74
W18X143,I,19.5,11.2,0.73,1.32,1.72,42,143,2750,282,322,8.09,311,55.5,85.4,2.72
W18X130,I,19.3,11.2,0.67,1.2,1.6,38.3,130,2460,256,290,8.03,278,49.9,76.7,2.7
W18X119,H,19,11.3,0.655,1.06,1.46,35.1,119,2190,231,262,7.9,253,44.9,69.1,2.69
W18X106,H,18.7,11.2,0.59,0.94,1.34,31.1,106,1910,204,230,7.84,220,39.4,60.5,2.66
W18X97,H,18.6,11.1,0.535,0.87,1.27,28.5,97,1750,188,211,7.82,201,36.1,55.3,2.65
W18X86,H,18.4,11.1,0.48,0.77,1.17,25.3,86,1530,166,186,7.77,175,31.6,48.4,2.63
W18X76,H,18.2,11,0.425,0.68,1.08,22.3,76,1330,146,163,7.73,152,27.6,42.2,2.61
W18X71,I,18.5,7.64,0.495,0.81,1.21,20.9,71,1170,127,146,7.5,60.3,15.8,24.7,1.7
W18X65,I,18.4,7.59,0.45,0.75,1.15,19.1,65,1070,117,133,7.49,54.8,14.4,22.5,1.69
W18X60,I,18.2,7.56,0.415,0.695,1.1,17.6,60,984,108,123,7.47,50.1,13.3,20.6,1.68
W18X55,I,18.1,7.53,0.39,0.63,1.03,16.2,55,890,98.3,112,7.41,44.9,11.9,18.5,1.67
W18X50,I,18,7.5,0.355,0.57,0.972,14.7,50,800,88.9,101,7.38,40.1,10.7,16.6,1.65
W18X46,I,18.1,6.06,0.36,0.605,1.01,13.5,46,712,78.8,90.7,7.25,22.5,7.43,11.7,1.29
W18X40,I,17.9,6.02,0.315,0.525,0.927,11.8,40,612,68.4,78.4,7.21,19.1,6.35,10,1.27
W18X35,I,17.7,6,0.3,0.425,0.827,10.3,35,510,57.6,66.5,7.04,15.3,5.12,8.06,1.22
W16X100,H,17,10.4,0.585,0.985,1.39,29.4,100,1490,175,198,7.1,186,35.7,54.9,2.51
W16X89,H,16.8,10.4,0.525,0.875,1.28,26.2,89,1300,155,175,7.05,163,31.4,48.1,2.49
W16X77,H,16.5,10.3,0.455,0.76,1.16,22.6,77,1110,134,150,7,138,26.9,41.1,2.47
W16X67,H,16.3,10.2,0.395,0.665,1.07,19.6,67,954,117,130,6.96,119,23.2,35.5,2.46
W16X57,I,16.4,7.12,0.43,0.715,1.12,16.8,57,758,92.2,105,6.72,43.1,12.1,18.9,1.6
W16X50,I,16.3,7.07,0.38,0.63,1.03,14.7,50,659,81,92,6.68,37.2,10.5,16.3,1.59
W16X45,I,16.1,7.04,0.345,0.565,0.967,13.3,45,586,72.7,82.3,6.65,32.8,9.34,14.5,1.57
W16X40,I,16,7,0.305,0.505,0.907,11.8,40,518,64.7,73,6.63,28.9,8.25,12.7,1.57
W16X36,I,15.9,6.99,0.295,0.43,0.832,10.6,36,448,56.5,64,6.51,24.5,7,10.8,1.52
W16X31,I,15.9,5.53,0.275,0.44,0.842,9.13,31,375,47.2,54,6.41,12.4,4.49,7.03,1.17
W16X26,I,15.7,5.5,0.25,0.345,0.747,7.68,26,301,38.4,44.2,6.26,9.59,3.49,5.48,1.12
W14X873,H,23.6,18.8,3.94,5.51,6.1,257,873,18100,1530,2030,8.39,6170,656,1020,4.9
W14X808,H,22.8,18.6,3.74,5.12,5.71,238,808,15900,1390,1830,8.17,5550,597,930,4.83
W14X730,H,22.4,17.9,3.07,4.91,5.51,215,730,14300,1280,1660,8.17,4720,527,816,4.69
W14X665,H,21.6,17.7,2.83,4.52,5.12,196,665,12400,1150,1480,7.98,4170,472,730,4.62
W14X605,H,20.9,17.4,2.6,4.16,4.76,178,605,10800,1040,1320,7.8,3680,423,652,4.55
W14X550,H,20.2,17.2,2.38,3.82,4.42,162,550,9430,931,1180,7.63,3250,378,583,4.49
W14X500,H,19.6,17,2.19,3.5,4.1,147,500,8210,838,1050,7.48,2880,339,522,4.43
W14X455,H,19,16.8,2.02,3.21,3.81,134,455,7190,756,936,7.33,2560,304,468,4.38
W14X426,H,18.7,16.7,1.88,3.04,3.63,125,426,6600,706,869,7.26,2360,283,434,4.34
W14X398,H,18.3,16.6,1.77,2.85,3.44,117,398,6000,656,801,7.16,2170,262,402,4.31
